time,valueA,valueB,valueC
638,9,30,11.66666666
639,7,30,17.5
640,31,56.66666666,40
641,1,50,19
642,2,50,7.5
643,36,56.66666666,20.66666666
644,27,30,17
645,2,60,7.333333333
646,0,45,9
647,7,60,19.5
648,0,30,8.5
649,1,30,24
650,11,45,19.5
651,2,60,5.333333333
652,12,40,10
653,2,30,8.5
654,4,50,21.5
655,53,30,29
656,16,45,17.66666666
657,8,52.5,14.33333333
658,50,37.5,24.5
659,17,40,21.5
660,3,50,19
661,24,45,24
662,14,30,29
663,4,40,16.5
664,33,50,26
665,7,60,11
666,25,60,17
667,14,45,18
668,13,40,17
669,3,30,18
670,10,52.5,10.5
671,6,60,26.5
672,2,50,6.5
673,13,60,12
674,24,37.5,17
675,30,50,23.5
676,11,60,26.74333333
677,45,66.66666666,36.74333333
678,11,60,23.0575
679,17,50,35.115
680,5,50,23.3075
681,4,50,23.0575
682,24,62,36.74333333
683,27,52.5,30.0575
684,15,50,23.3075
685,8,50,25.74333333
686,57,48,33.07666666
687,6,30,26.41
688,34,37.5,27.3075
689,2,47.5,20.5575
690,1,54,9
691,13,50,19
692,7,30,15
693,7,60,8.5
694,2,60,12
695,8,50,40
696,10,66.66666666,10.5
697,11,43.33333333,9
698,0,30,17.5
699,1,50,6.5
700,4,50,29
701,3,40,20
702,2,43.33333333,15.5
703,27,60,31
704,1,30,12.66666666
705,9,60,8.5
706,24,60,16
707,3,50,22
708,14,52,24
709,3,43.33333333,20
710,2,50,9.666666666
711,7,56,23
712,5,50,5
713,26,50,23.5
714,0,36.66666666,8
715,0,60,8.5
716,0,60,11.5
717,4,30,5.333333333
718,4,37.5,10.5
719,11,50,18.5
720,3,37.5,7.666666666
721,12,45,13
722,1,30,12.5
723,3,50,19.5
724,1,40,8
725,1,30,8.5
726,7,50,24.5
727,22,50,20.5
728,23,53.33333333,24
729,4,45,25.33333333
730,21,45,21.33333333
731,52,62.5,40
732,7,43.33333333,10.5
733,7,60,34.5
734,4,36.66666666,13
735,12,46.66666666,11.5
736,11,53.33333333,9.5
737,79,54,14.85714285
738,16,60,17
739,12,30,9.75
740,50,53.33333333,24
741,61,52.5,17
742,64,60,16.66666666
743,27,52.5,19
744,16,36.66666666,12
745,57,50,21
746,36,53.33333333,17
747,0,30,8.5
748,25,50,13
749,13,50,10
750,22,47.5,24
751,2,30,12.5
752,40,50,21.5
753,23,50,10
754,81,62.5,35
755,67,35,13.5
756,30,52.5,22.5
757,23,52.5,20
758,17,50,7.666666666
759,18,37.5,10
760,2,53.33333333,22.5
761,13,45,9.666666666
762,9,50,19
763,93,37.5,12.5
764,3,50,5.5
765,9,36.66666666,8
766,11,46.66666666,10.5
767,27,55,23.33333333
768,1,30,6
